timestamp,stage_name,latency_us,jitter_us,throughput_messages,drop_rate,cpu_utilization,memory_utilization,p99_latency_us
2025-05-22T10:00:00.000Z,websocket_ingress,8.2,1.5,125000,0.0001,45.2,32.1,12.5
2025-05-22T10:00:00.001Z,json_parse,25.4,4.2,125000,0.0002,48.1,32.2,35.8
2025-05-22T10:00:00.002Z,exchange_processor_queue,2.1,0.3,125000,0.0001,46.5,32.1,3.2
2025-05-22T10:00:00.003Z,orderbook_update,4.8,0.8,125000,0.0001,47.2,32.3,7.1
2025-05-22T10:00:00.004Z,position_keeper_snapshot,1.5,0.2,125000,0.0001,45.8,32.1,2.3
2025-05-22T10:00:00.005Z,eventbus_publish,3.2,0.5,125000,0.0001,46.9,32.2,4.8
2025-05-22T10:00:00.006Z,strategy_manager_dispatch,5.6,0.9,125000,0.0001,48.3,32.4,8.2
2025-05-22T10:00:00.007Z,strategy_execution_simple_mm,15.3,2.1,85000,0.0002,52.1,33.1,22.4
2025-05-22T10:00:00.008Z,strategy_execution_cross_arb,18.7,2.8,40000,0.0003,51.8,33.2,28.6
2025-05-22T10:00:00.010Z,websocket_ingress,12.5,3.2,250000,0.0005,62.4,35.8,22.1
2025-05-22T10:00:00.011Z,json_parse,45.8,12.5,250000,0.0012,68.9,36.2,78.3
2025-05-22T10:00:00.012Z,exchange_processor_queue,3.8,1.1,250000,0.0008,65.1,35.9,6.5
2025-05-22T10:00:00.013Z,orderbook_update,8.2,2.3,250000,0.0006,64.8,36.1,14.2
2025-05-22T10:00:00.014Z,position_keeper_snapshot,2.8,0.7,250000,0.0004,63.2,35.7,4.8
2025-05-22T10:00:00.015Z,eventbus_publish,6.1,1.5,250000,0.0005,66.4,36.3,11.8
2025-05-22T10:00:00.016Z,strategy_manager_dispatch,9.8,2.8,250000,0.0008,67.1,36.5,18.4
2025-05-22T10:00:00.017Z,strategy_execution_simple_mm,32.4,8.5,170000,0.0015,72.8,37.2,52.1
2025-05-22T10:00:00.018Z,strategy_execution_cross_arb,38.6,10.2,80000,0.0021,71.4,37.5,65.8
2025-05-22T10:00:00.020Z,websocket_ingress,6.8,1.1,125000,0.0001,44.8,32.0,10.2
2025-05-22T10:00:00.021Z,json_parse,22.1,3.5,125000,0.0002,47.2,32.1,30.5
2025-05-22T10:00:00.022Z,exchange_processor_queue,1.9,0.2,125000,0.0001,45.5,32.0,2.8
2025-05-22T10:00:00.023Z,orderbook_update,4.2,0.6,125000,0.0001,46.1,32.2,6.2
2025-05-22T10:00:00.024Z,position_keeper_snapshot,1.3,0.1,125000,0.0001,44.9,32.0,1.9
2025-05-22T10:00:00.025Z,eventbus_publish,2.8,0.4,125000,0.0001,45.7,32.1,4.1
2025-05-22T10:00:00.026Z,strategy_manager_dispatch,4.9,0.7,125000,0.0001,47.3,32.3,7.1
2025-05-22T10:00:00.027Z,strategy_execution_simple_mm,14.1,1.8,85000,0.0002,51.2,33.0,19.8
2025-05-22T10:00:00.028Z,strategy_execution_cross_arb,17.2,2.4,40000,0.0003,50.8,33.1,25.3
2025-05-22T10:00:00.030Z,websocket_ingress,9.5,2.1,125000,0.0001,46.8,32.4,15.6
2025-05-22T10:00:00.031Z,json_parse,28.3,5.1,125000,0.0002,49.5,32.5,40.2
2025-05-22T10:00:00.032Z,exchange_processor_queue,2.3,0.4,125000,0.0001,47.1,32.3,3.8
2025-05-22T10:00:00.033Z,orderbook_update,5.1,0.9,125000,0.0001,48.2,32.4,7.8
2025-05-22T10:00:00.034Z,position_keeper_snapshot,1.6,0.2,125000,0.0001,46.4,32.2,2.5
2025-05-22T10:00:00.035Z,eventbus_publish,3.5,0.6,125000,0.0001,47.8,32.3,5.2
2025-05-22T10:00:00.036Z,strategy_manager_dispatch,6.2,1.0,125000,0.0001,49.1,32.5,9.1
2025-05-22T10:00:00.037Z,strategy_execution_simple_mm,16.8,2.5,85000,0.0002,53.4,33.3,24.1
2025-05-22T10:00:00.038Z,strategy_execution_cross_arb,20.1,3.2,40000,0.0003,52.9,33.4,30.5
